type1,type2,predicted_type1,predicted_type2,binary_match_score,partial_match_score
Water,,Water,Fairy,0,0.5
Ghost,,Ghost,Grass,0,0.5
Grass,Ice,Ice,Fairy,0,0.0
Rock,Ground,Steel,Ground,0,0.5
Psychic,,Psychic,Psychic,0,0.5
Electric,,Electric,Steel,0,0.5
Electric,,Normal,Flying,0,0.0
Ice,Bug,Ice,Flying,0,0.5
Ground,Rock,Ground,Ghost,0,0.5
Dark,Grass,Grass,Grass,0,0.5
Psychic,Fairy,Bug,Fighting,0,0.0
Flying,Dragon,Psychic,Flying,0,0.0
Normal,,Dark,Dragon,0,0.0
Fairy,,Psychic,Psychic,0,0.0
Electric,,Electric,Steel,0,0.5
Fire,Dark,Fire,Fighting,0,0.5
Bug,Grass,Bug,Poison,0,0.5
Dark,Dragon,Dragon,Dragon,0,0.5
Water,Ice,Water,Psychic,0,0.5
Fire,,Fire,Ghost,0,0.5
Normal,,Normal,Fairy,0,0.5
Dark,Fighting,Dark,Psychic,0,0.5
Rock,Psychic,Rock,Psychic,1,1.0
Normal,,Normal,Flying,0,0.5
Water,,Water,Flying,0,0.5
Bug,Electric,Bug,Electric,1,1.0
Normal,,Normal,Flying,0,0.5
Normal,,Normal,Fairy,0,0.5
Poison,,Poison,Dark,0,0.5
Normal,Flying,Flying,Flying,0,0.5
Dragon,Ground,Dragon,Ground,1,1.0
Electric,,Electric,Poison,0,0.5
Water,Ghost,Water,Dragon,0,0.5
Ground,Rock,Dragon,Ghost,0,0.0
Dragon,Psychic,Normal,Psychic,0,0.5
Water,Fighting,Water,Fairy,0,0.5
Fire,,Fire,Fighting,0,0.5
Water,Bug,Water,Fairy,0,0.5
Dark,Steel,Fighting,Ghost,0,0.0
Normal,Flying,Normal,Flying,1,1.0
Poison,,Poison,Dragon,0,0.5
Rock,Water,Rock,Water,1,1.0
Poison,,Poison,Dark,0,0.5
Ice,Ground,Ice,Ice,0,0.5
Steel,Poison,Dragon,Ghost,0,0.0
Grass,Flying,Normal,Flying,0,0.5
Normal,,Normal,Fairy,0,0.5
Psychic,,Ghost,Fairy,0,0.0
Bug,Steel,Bug,Psychic,0,0.5
Ground,,Ground,Ground,0,0.5
Water,Bug,Water,Fairy,0,0.5
Psychic,,Psychic,Fairy,0,0.5
Poison,Normal,Poison,Fighting,0,0.5
Water,,Water,Psychic,0,0.5
Fire,,Fire,Fighting,0,0.5
Normal,Flying,Normal,Flying,1,1.0
Normal,Psychic,Psychic,Psychic,0,0.5
Rock,,Ground,Rock,0,0.5
Fighting,,Fighting,Ghost,0,0.5
Fairy,,Ghost,Fairy,0,0.5
Normal,,Dark,Dragon,0,0.0
Dragon,Flying,Fire,Fire,0,0.0
Water,,Water,Rock,0,0.5
Grass,,Grass,Poison,0,0.5
Grass,,Grass,Poison,0,0.5
Dark,,Normal,Fighting,0,0.0
Steel,Rock,Steel,Psychic,0,0.5
Bug,Electric,Bug,Electric,1,1.0
Bug,Ground,Bug,Flying,0,0.5
Ghost,Grass,Ghost,Grass,1,1.0
Psychic,Flying,Normal,Flying,0,0.5
Electric,Normal,Electric,Dragon,0,0.5
Psychic,,Psychic,Fairy,0,0.5
Bug,Fighting,Bug,Fighting,1,1.0
Fighting,,Fighting,Ghost,0,0.5
Water,Fighting,Normal,Flying,0,0.0
Fighting,,Fighting,Flying,0,0.5
Dragon,,Water,Psychic,0,0.0
Fire,Flying,Psychic,Flying,0,0.5
Rock,,Rock,Ground,0,0.5
Electric,Fairy,Electric,Flying,0,0.5
Water,Ghost,Water,Water,0,0.5
Fire,,Fire,Fighting,0,0.5
Fairy,Psychic,Dark,Fairy,0,0.0
Normal,,Flying,Flying,0,0.0
Ice,Water,Ice,Ice,0,0.5
Fire,,Fire,Fighting,0,0.5
Water,,Water,Psychic,0,0.5
Bug,Poison,Bug,Poison,1,1.0
Steel,Poison,Steel,Psychic,0,0.5
Ground,Flying,Poison,Dark,0,0.0
Grass,Poison,Grass,Poison,1,1.0
Grass,Steel,Psychic,Ghost,0,0.0
Grass,Poison,Grass,Fairy,0,0.5
Grass,,Grass,Dragon,0,0.5
Grass,,Normal,Psychic,0,0.0
Bug,Flying,Poison,Flying,0,0.5
Steel,Dragon,Rock,Psychic,0,0.0
Ghost,Poison,Ghost,Ghost,0,0.5
Water,Psychic,Water,Psychic,1,1.0
Fighting,Ice,Ice,Ice,0,0.5
Grass,Fighting,Grass,Psychic,0,0.5
Rock,,Rock,Dragon,0,0.5
